receptor_id,backbone_id,reference_file,aligned_receptor_pdb,reference_ligand_pdb,config_file,alignment_method,pocket_ca_count,alignment_rmsd_A,ligand_atom_count,center_x,center_y,center_z,box_size,status
buried_0_model_0_sample1_model,buried_0_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_0_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_0_model_0_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_0_model_0_sample1_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_0_model_0_sample1_model.box.txt,pocket_pair_fit,10,0.3768,10,1.102,-0.605,8.606,20.0,success
buried_0_model_2_sample4_model,buried_0_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_0_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_0_model_2_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_0_model_2_sample4_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_0_model_2_sample4_model.box.txt,pocket_pair_fit,14,0.4014,10,-1.359,0.799,2.884,20.0,success
buried_0_model_3_sample4_model,buried_0_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_0_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_0_model_3_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_0_model_3_sample4_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_0_model_3_sample4_model.box.txt,pocket_pair_fit,16,0.4383,10,-8.831,-1.811,-0.576,20.0,success
buried_0_model_4_sample8_model,buried_0_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_0_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_0_model_4_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_0_model_4_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_0_model_4_sample8_model.box.txt,pocket_pair_fit,17,0.4173,10,2.236,0.846,2.713,20.0,success
buried_0_model_5_sample7_model,buried_0_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_0_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_0_model_5_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_0_model_5_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_0_model_5_sample7_model.box.txt,pocket_pair_fit,14,0.1809,10,-3.785,3.227,1.46,20.0,success
buried_0_model_8_sample8_model,buried_0_model_8,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_0_model_8.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_0_model_8_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_0_model_8_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_0_model_8_sample8_model.box.txt,pocket_pair_fit,16,0.3957,10,0.301,0.152,-3.346,20.0,success
buried_1_model_0_sample2_model,buried_1_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_1_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_1_model_0_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_1_model_0_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_1_model_0_sample2_model.box.txt,pocket_pair_fit,16,0.6647,10,-0.095,2.029,-1.007,20.0,success
buried_1_model_3_sample1_model,buried_1_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_1_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_1_model_3_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_1_model_3_sample1_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_1_model_3_sample1_model.box.txt,pocket_pair_fit,12,0.3235,10,2.649,-4.727,-7.122,20.0,success
buried_1_model_5_sample2_model,buried_1_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_1_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_1_model_5_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_1_model_5_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_1_model_5_sample2_model.box.txt,pocket_pair_fit,11,0.4034,10,0.02,2.722,-1.11,20.0,success
buried_1_model_9_sample1_model,buried_1_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_1_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_1_model_9_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_1_model_9_sample1_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_1_model_9_sample1_model.box.txt,pocket_pair_fit,16,0.4616,10,1.852,-1.136,-3.285,20.0,success
buried_2_model_2_sample8_model,buried_2_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_2_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_2_model_2_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_2_model_2_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_2_model_2_sample8_model.box.txt,pocket_pair_fit,15,0.3185,10,2.077,0.513,2.133,20.0,success
buried_2_model_3_sample1_model,buried_2_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_2_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_2_model_3_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_2_model_3_sample1_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_2_model_3_sample1_model.box.txt,pocket_pair_fit,16,0.3666,10,4.351,-3.898,-3.449,20.0,success
buried_2_model_4_sample8_model,buried_2_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_2_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_2_model_4_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_2_model_4_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_2_model_4_sample8_model.box.txt,pocket_pair_fit,13,0.312,10,4.941,3.59,-9.513,20.0,success
buried_2_model_5_sample6_model,buried_2_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_2_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_2_model_5_sample6_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_2_model_5_sample6_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_2_model_5_sample6_model.box.txt,pocket_pair_fit,14,0.449,10,-1.125,-0.573,-2.683,20.0,success
buried_2_model_7_sample5_model,buried_2_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_2_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_2_model_7_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_2_model_7_sample5_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_2_model_7_sample5_model.box.txt,pocket_pair_fit,14,0.3836,10,1.155,1.748,-3.568,20.0,success
buried_2_model_8_sample7_model,buried_2_model_8,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_2_model_8.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_2_model_8_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_2_model_8_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_2_model_8_sample7_model.box.txt,pocket_pair_fit,13,0.2406,10,-9.989,-0.522,-3.036,20.0,success
buried_3_model_1_sample8_model,buried_3_model_1,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_3_model_1.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_3_model_1_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_3_model_1_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_3_model_1_sample8_model.box.txt,pocket_pair_fit,14,0.3144,10,1.567,-1.86,1.91,20.0,success
buried_3_model_3_sample7_model,buried_3_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_3_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_3_model_3_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_3_model_3_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_3_model_3_sample7_model.box.txt,pocket_pair_fit,15,0.4347,10,0.961,2.176,1.674,20.0,success
buried_3_model_5_sample6_model,buried_3_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_3_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_3_model_5_sample6_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_3_model_5_sample6_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_3_model_5_sample6_model.box.txt,pocket_pair_fit,13,0.9982,10,0.783,1.282,0.437,20.0,success
buried_3_model_8_sample6_model,buried_3_model_8,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_3_model_8.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_3_model_8_sample6_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_3_model_8_sample6_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_3_model_8_sample6_model.box.txt,pocket_pair_fit,13,1.377,10,8.327,3.075,2.607,20.0,success
buried_4_model_0_sample7_model,buried_4_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_0_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_0_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_0_sample7_model.box.txt,pocket_pair_fit,12,1.1407,10,-7.103,-6.416,0.958,20.0,success
buried_4_model_3_sample10_model,buried_4_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_3_sample10_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_3_sample10_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_3_sample10_model.box.txt,pocket_pair_fit,13,0.7774,10,4.318,2.077,3.259,20.0,success
buried_4_model_5_sample5_model,buried_4_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_5_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_5_sample5_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_5_sample5_model.box.txt,pocket_pair_fit,15,0.3004,10,-2.195,2.713,2.532,20.0,success
buried_4_model_6_sample2_model,buried_4_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_6_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_6_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_6_sample2_model.box.txt,pocket_pair_fit,15,0.2073,10,-0.287,-1.131,-1.105,20.0,success
buried_4_model_7_sample10_model,buried_4_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_7_sample10_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_7_sample10_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_7_sample10_model.box.txt,pocket_pair_fit,17,0.521,10,-1.225,-2.228,1.956,20.0,success
buried_4_model_8_sample1_model,buried_4_model_8,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_8.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_8_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_8_sample1_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_8_sample1_model.box.txt,pocket_pair_fit,11,0.3846,10,6.064,-5.925,0.921,20.0,success
