receptor_id,md_selection_bucket,redocking_validation_tier,vina_affinity_kcal_mol,connectivity_aware_in_place_rmsd_A,centroid_shift_A,contact_recovery_percent,new_contact_percent_of_docked,contact_jaccard,pocket_alignment_rmsd_A,pocket_alignment_risk
buried_1_model_5_sample2_model,Primary_MD_shortlist,Tier_A_connectivity_supported_pose,-6.964,0.7057,0.0495,93.3333,0.0,0.9333,0.4034,Acceptable_pocket_alignment
buried_9_model_9_sample7_model,Primary_MD_shortlist,Tier_A_connectivity_supported_pose,-6.813,1.0878,0.7122,90.9091,16.6667,0.7692,0.3439,Acceptable_pocket_alignment
buried_1_model_9_sample1_model,Pose_supported_backup,Tier_A_connectivity_supported_pose,-6.733,1.65,0.5023,91.6667,8.3333,0.8462,0.4616,Acceptable_pocket_alignment
buried_9_model_6_sample6_model,Pose_supported_backup,Tier_A_connectivity_supported_pose,-6.4,1.1965,0.5532,100.0,13.3333,0.8667,0.4535,Acceptable_pocket_alignment
buried_2_model_3_sample1_model,Pose_supported_backup,Tier_A_connectivity_supported_pose,-6.129,1.0858,0.8237,92.8571,0.0,0.9286,0.3666,Acceptable_pocket_alignment
buried_3_model_1_sample8_model,Pose_supported_backup,Tier_A_connectivity_supported_pose,-5.784,1.7299,0.6928,100.0,8.3333,0.9167,0.3144,Acceptable_pocket_alignment
buried_6_model_4_sample7_model,Pose_supported_backup,Tier_A_connectivity_supported_pose,-5.231,1.4324,0.8035,100.0,16.6667,0.8333,0.6953,Acceptable_pocket_alignment
buried_4_model_7_sample10_model,Strong_affinity_manual_review,Tier_B_partially_supported_pose,-7.775,1.8301,1.6836,84.6154,15.3846,0.7333,0.521,Acceptable_pocket_alignment
buried_7_model_5_sample9_model,Strong_affinity_manual_review,Tier_B_partially_supported_pose,-7.552,2.1583,1.3809,90.9091,9.0909,0.8333,0.3839,Acceptable_pocket_alignment
buried_8_model_9_sample2_model,Strong_affinity_manual_review,Tier_B_partially_supported_pose,-7.182,1.3222,1.1912,80.0,14.2857,0.7059,0.3117,Acceptable_pocket_alignment
buried_7_model_7_sample10_model,Strong_affinity_manual_review,Tier_B_partially_supported_pose,-7.009,1.8573,1.72,91.6667,31.25,0.6471,0.3983,Acceptable_pocket_alignment
buried_2_model_5_sample6_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-6.917,1.4784,0.9452,91.6667,21.4286,0.7333,0.449,Acceptable_pocket_alignment
buried_3_model_3_sample7_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-6.904,2.0021,0.5553,92.8571,13.3333,0.8125,0.4347,Acceptable_pocket_alignment
buried_5_model_1_sample2_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-6.857,1.6857,1.0023,92.3077,14.2857,0.8,0.3954,Acceptable_pocket_alignment
buried_8_model_7_sample9_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-6.543,2.231,0.5029,85.7143,0.0,0.8571,0.3787,Acceptable_pocket_alignment
buried_9_model_4_sample7_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-6.539,1.6531,1.0015,75.0,25.0,0.6,0.3909,Acceptable_pocket_alignment
buried_5_model_4_sample4_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-6.438,1.7237,1.1607,100.0,21.4286,0.7857,0.4136,Acceptable_pocket_alignment
buried_6_model_3_sample9_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-6.056,2.262,1.2899,81.8182,25.0,0.6429,0.6797,Acceptable_pocket_alignment
buried_6_model_1_sample4_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-5.172,2.1627,0.9849,83.3333,9.0909,0.7692,0.5388,Acceptable_pocket_alignment
buried_7_model_4_sample6_model,Not_priority_for_initial_MD,Tier_B_partially_supported_pose,-4.8,2.409,1.2569,90.0,25.0,0.6923,0.4838,Acceptable_pocket_alignment
buried_2_model_2_sample8_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-7.953,4.1806,0.7126,92.8571,7.1429,0.8667,0.3185,Acceptable_pocket_alignment
buried_8_model_3_sample2_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-7.829,5.4733,3.6396,58.3333,41.6667,0.4118,0.427,Acceptable_pocket_alignment
buried_4_model_5_sample5_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-7.308,4.3461,1.3723,84.6154,8.3333,0.7857,0.3004,Acceptable_pocket_alignment
buried_0_model_5_sample7_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-7.191,4.5566,0.6466,100.0,14.2857,0.8571,0.1809,Acceptable_pocket_alignment
buried_4_model_6_sample2_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.978,5.1314,3.4397,66.6667,28.5714,0.5263,0.2073,Acceptable_pocket_alignment
buried_5_model_0_sample7_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.773,4.871,2.7979,60.0,45.4545,0.4,2.182,High_risk_pocket_deviation
buried_2_model_7_sample5_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.697,3.8643,3.2805,75.0,25.0,0.6,0.3836,Acceptable_pocket_alignment
buried_5_model_2_sample6_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.358,3.7964,1.9797,71.4286,23.0769,0.5882,0.2285,Acceptable_pocket_alignment
buried_2_model_4_sample8_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.095,4.4431,1.3123,61.5385,11.1111,0.5714,0.312,Acceptable_pocket_alignment
buried_2_model_8_sample7_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.091,4.3886,1.3259,80.0,27.2727,0.6154,0.2406,Acceptable_pocket_alignment
buried_3_model_5_sample6_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.07,4.7582,3.2277,72.7273,38.4615,0.5,0.9982,Borderline_pocket_deviation
buried_0_model_8_sample8_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.058,4.2963,1.4178,75.0,30.7692,0.5625,0.3957,Acceptable_pocket_alignment
buried_6_model_9_sample8_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-6.042,4.7012,2.0887,81.8182,25.0,0.6429,0.9666,Borderline_pocket_deviation
buried_1_model_0_sample2_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.956,4.4046,0.8767,83.3333,33.3333,0.5882,0.6647,Acceptable_pocket_alignment
buried_5_model_3_sample4_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.947,4.443,0.6202,90.9091,16.6667,0.7692,0.3118,Acceptable_pocket_alignment
buried_4_model_8_sample1_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.93,5.0048,2.8233,88.8889,27.2727,0.6667,0.3846,Acceptable_pocket_alignment
buried_1_model_3_sample1_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.886,4.4958,0.1928,100.0,8.3333,0.9167,0.3235,Acceptable_pocket_alignment
buried_4_model_0_sample7_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.8,4.4096,0.6294,88.8889,20.0,0.7273,1.1407,High_risk_pocket_deviation
buried_8_model_4_sample3_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.347,4.5528,1.7642,92.8571,0.0,0.9286,0.5925,Acceptable_pocket_alignment
buried_9_model_0_sample5_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.214,3.228,1.7937,72.7273,20.0,0.6154,0.5456,Acceptable_pocket_alignment
buried_0_model_2_sample4_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.19,4.4658,0.992,100.0,7.1429,0.9286,0.4014,Acceptable_pocket_alignment
buried_0_model_0_sample1_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-5.184,4.3917,0.6826,90.0,0.0,0.9,0.3768,Acceptable_pocket_alignment
buried_4_model_3_sample10_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-4.128,12.9015,12.1769,0.0,100.0,0.0,0.7774,Acceptable_pocket_alignment
buried_9_model_3_sample2_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-4.014,9.767,8.9519,25.0,62.5,0.1765,0.4061,Acceptable_pocket_alignment
buried_7_model_6_sample4_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-3.867,10.5468,10.3178,23.0769,62.5,0.1667,0.3602,Acceptable_pocket_alignment
buried_5_model_5_sample5_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-3.663,13.0832,12.402,0.0,100.0,0.0,0.2927,Acceptable_pocket_alignment
buried_8_model_2_sample8_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-3.535,9.6478,8.7489,30.7692,33.3333,0.2667,0.5218,Acceptable_pocket_alignment
buried_7_model_3_sample2_model,Not_priority_for_initial_MD,Tier_C_low_priority_pose,-3.351,11.3493,11.0272,7.6923,85.7143,0.0526,0.7726,Acceptable_pocket_alignment
