receptor_id,backbone_id,receptor_file,reference_file,aligned_receptor_pdb,reference_ligand_pdb,config_file,alignment_method,pocket_ca_count,alignment_rmsd_A,ligand_atom_count,ligand_span_x_A,ligand_span_y_A,ligand_span_z_A,center_x,center_y,center_z,box_size_A,status
buried_0_model_5_sample7_model,buried_0_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_0_model_5_sample7_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_0_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_5_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_0_model_5_sample7_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_0_model_5_sample7_model.box.txt,pocket_pair_fit,15,0.4493,22,5.542,9.486,6.889,2.301,4.099,-0.921,24.0,success
buried_0_model_7_sample1_model,buried_0_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_0_model_7_sample1_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_0_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_7_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_0_model_7_sample1_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_0_model_7_sample1_model.box.txt,pocket_pair_fit,23,0.6337,22,6.374,9.248,7.398,1.64,-1.191,0.25,24.0,success
buried_0_model_9_sample9_model,buried_0_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_0_model_9_sample9_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_0_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_9_sample9_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_0_model_9_sample9_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_0_model_9_sample9_model.box.txt,pocket_pair_fit,20,0.578,22,8.925,3.469,8.826,4.956,1.362,-3.397,24.0,success
buried_1_model_0_sample8_model,buried_1_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_1_model_0_sample8_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_1_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_1_model_0_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_1_model_0_sample8_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_1_model_0_sample8_model.box.txt,pocket_pair_fit,23,0.381,22,2.998,6.966,9.445,-1.201,-3.28,6.534,24.0,success
buried_1_model_1_sample1_model,buried_1_model_1,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_1_model_1_sample1_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_1_model_1.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_1_model_1_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_1_model_1_sample1_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_1_model_1_sample1_model.box.txt,pocket_pair_fit,22,0.4203,22,9.553,4.337,8.4,-0.148,-0.627,-0.031,24.0,success
buried_2_model_2_sample1_model,buried_2_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_2_sample1_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_2_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_2_model_2_sample1_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_2_model_2_sample1_model.box.txt,pocket_pair_fit,21,0.4725,22,9.633,5.513,5.318,-3.654,0.397,0.344,24.0,success
buried_2_model_8_sample3_model,buried_2_model_8,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_8_sample3_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_8.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_8_sample3_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_2_model_8_sample3_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_2_model_8_sample3_model.box.txt,pocket_pair_fit,19,0.9496,22,9.267,4.057,5.686,6.493,-4.149,10.832,24.0,success
buried_2_model_9_sample3_model,buried_2_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_2_model_9_sample3_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_2_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_9_sample3_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_2_model_9_sample3_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_2_model_9_sample3_model.box.txt,pocket_pair_fit,22,0.4,22,8.44,4.371,8.372,-1.787,1.435,-4.981,24.0,success
buried_3_model_5_sample5_model,buried_3_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_3_model_5_sample5_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_3_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_3_model_5_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_3_model_5_sample5_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_3_model_5_sample5_model.box.txt,pocket_pair_fit,15,0.6645,22,9.928,7.632,3.763,-1.336,-9.639,-2.77,24.0,success
buried_3_model_6_sample3_model,buried_3_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_3_model_6_sample3_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_3_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_3_model_6_sample3_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_3_model_6_sample3_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_3_model_6_sample3_model.box.txt,pocket_pair_fit,20,0.544,22,9.081,5.447,6.113,-1.141,3.633,0.777,24.0,success
buried_4_model_0_sample9_model,buried_4_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_0_sample9_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_0_sample9_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_0_sample9_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_0_sample9_model.box.txt,pocket_pair_fit,17,0.3222,22,5.468,6.084,10.429,0.51,-11.367,-2.952,24.0,success
buried_4_model_3_sample8_model,buried_4_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_3_sample8_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_3_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_3_sample8_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_3_sample8_model.box.txt,pocket_pair_fit,22,0.3242,22,3.932,10.2,6.089,-0.824,-0.724,-4.118,24.0,success
buried_4_model_4_sample7_model,buried_4_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_4_sample7_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_4_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_4_sample7_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_4_sample7_model.box.txt,pocket_pair_fit,19,0.4092,22,6.634,4.807,9.494,-4.459,-1.996,5.819,24.0,success
buried_4_model_5_sample1_model,buried_4_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_5_sample1_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_5_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_5_sample1_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_5_sample1_model.box.txt,pocket_pair_fit,21,0.569,22,9.836,4.139,7.04,-2.313,1.931,-2.06,24.0,success
buried_4_model_6_sample7_model,buried_4_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_4_model_6_sample7_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_4_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_6_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_4_model_6_sample7_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_4_model_6_sample7_model.box.txt,pocket_pair_fit,20,0.8668,22,6.719,6.538,8.345,-8.061,-1.677,8.19,24.0,success
