"receptor_id","receptor_input_pdb","receptor_pdbqt","pdbqt_created","exit_code","log_file"
"buried_0_model_5_sample7_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_5_sample7_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_0_model_5_sample7_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_0_model_5_sample7_model_mk_prepare_receptor.log"
"buried_0_model_7_sample1_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_7_sample1_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_0_model_7_sample1_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_0_model_7_sample1_model_mk_prepare_receptor.log"
"buried_0_model_9_sample9_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_0_model_9_sample9_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_0_model_9_sample9_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_0_model_9_sample9_model_mk_prepare_receptor.log"
"buried_1_model_0_sample8_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_1_model_0_sample8_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_1_model_0_sample8_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_1_model_0_sample8_model_mk_prepare_receptor.log"
"buried_1_model_1_sample1_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_1_model_1_sample1_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_1_model_1_sample1_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_1_model_1_sample1_model_mk_prepare_receptor.log"
"buried_2_model_2_sample1_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_2_sample1_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_2_model_2_sample1_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_2_model_2_sample1_model_mk_prepare_receptor.log"
"buried_2_model_8_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_8_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_2_model_8_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_2_model_8_sample3_model_mk_prepare_receptor.log"
"buried_2_model_9_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_2_model_9_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_2_model_9_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_2_model_9_sample3_model_mk_prepare_receptor.log"
"buried_3_model_5_sample5_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_3_model_5_sample5_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_3_model_5_sample5_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_3_model_5_sample5_model_mk_prepare_receptor.log"
"buried_3_model_6_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_3_model_6_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_3_model_6_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_3_model_6_sample3_model_mk_prepare_receptor.log"
"buried_4_model_0_sample9_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_0_sample9_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_4_model_0_sample9_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_4_model_0_sample9_model_mk_prepare_receptor.log"
"buried_4_model_3_sample8_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_3_sample8_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_4_model_3_sample8_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_4_model_3_sample8_model_mk_prepare_receptor.log"
"buried_4_model_4_sample7_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_4_sample7_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_4_model_4_sample7_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_4_model_4_sample7_model_mk_prepare_receptor.log"
"buried_4_model_5_sample1_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_5_sample1_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_4_model_5_sample1_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_4_model_5_sample1_model_mk_prepare_receptor.log"
"buried_4_model_6_sample7_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_4_model_6_sample7_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_4_model_6_sample7_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_4_model_6_sample7_model_mk_prepare_receptor.log"
"buried_5_model_0_sample5_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_0_sample5_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_5_model_0_sample5_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_5_model_0_sample5_model_mk_prepare_receptor.log"
"buried_5_model_1_sample4_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_1_sample4_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_5_model_1_sample4_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_5_model_1_sample4_model_mk_prepare_receptor.log"
"buried_5_model_3_sample6_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_3_sample6_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_5_model_3_sample6_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_5_model_3_sample6_model_mk_prepare_receptor.log"
"buried_5_model_6_sample8_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_6_sample8_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_5_model_6_sample8_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_5_model_6_sample8_model_mk_prepare_receptor.log"
"buried_5_model_9_sample7_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_5_model_9_sample7_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_5_model_9_sample7_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_5_model_9_sample7_model_mk_prepare_receptor.log"
"buried_6_model_1_sample5_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_1_sample5_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_6_model_1_sample5_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_6_model_1_sample5_model_mk_prepare_receptor.log"
"buried_6_model_3_sample2_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_3_sample2_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_6_model_3_sample2_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_6_model_3_sample2_model_mk_prepare_receptor.log"
"buried_6_model_5_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_5_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_6_model_5_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_6_model_5_sample3_model_mk_prepare_receptor.log"
"buried_6_model_7_sample10_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_7_sample10_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_6_model_7_sample10_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_6_model_7_sample10_model_mk_prepare_receptor.log"
"buried_6_model_8_sample9_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_8_sample9_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_6_model_8_sample9_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_6_model_8_sample9_model_mk_prepare_receptor.log"
"buried_7_model_0_sample3_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_0_sample3_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_7_model_0_sample3_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_7_model_0_sample3_model_mk_prepare_receptor.log"
"buried_7_model_2_sample4_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_2_sample4_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_7_model_2_sample4_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_7_model_2_sample4_model_mk_prepare_receptor.log"
"buried_7_model_7_sample5_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_7_sample5_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_7_model_7_sample5_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_7_model_7_sample5_model_mk_prepare_receptor.log"
"buried_7_model_9_sample4_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_9_sample4_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_7_model_9_sample4_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_7_model_9_sample4_model_mk_prepare_receptor.log"
"buried_8_model_1_sample8_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_8_model_1_sample8_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_8_model_1_sample8_model.pdbqt","False","1","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_8_model_1_sample8_model_mk_prepare_receptor.log"
"buried_8_model_2_sample7_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_8_model_2_sample7_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_8_model_2_sample7_model.pdbqt","True","0","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_8_model_2_sample7_model_mk_prepare_receptor.log"
"buried_8_model_3_sample4_model","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_8_model_3_sample4_model_aligned.pdb","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT_ready\buried_8_model_3_sample4_model.pdbqt","False","1","C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\QC\receptor_preparation_logs\buried_8_model_3_sample4_model_mk_prepare_receptor.log"
